ICAO,City,State
KLUK,Cincinnati,Ohio
KLWB,Lewisburg,West Virginia
KLWS,Lewiston,Idaho
KLYH,Lynchburg,Virginia
KMAF,Midland,Texas
KMBS,Saginaw,Michigan
KMCI,Kansas City,Missouri
KMCO,Orlando,Florida
KMDT,Harrisburg/Middletown,Pennsylvania
KMDW,Chicago,Illinois
KMEM,Memphis,Tennessee
KMFE,McAllen,Texas
KMFR,Medford,Oregon
KMGM,Montgomery,Alabama
KMGW,Morgantown,West Virginia
KMHK,Manhattan,Kansas
KMHT,Manchester,New Hampshire
KMIA,Miami,Florida
KMKE,Milwaukee,Wisconsin
KMKG,Muskegon,Michigan
KMLB,Melbourne,Florida
KMLI,Moline,Illinois
KMLU,Monroe,Louisiana
KMMH,Mammoth Lakes,California
KMOB,Mobile,Alabama
KMOD,Modesto,California
KMOT,Minot,North Dakota
KMRY,Monterey,California
KMSN,Madison,Wisconsin
KMSO,Missoula,Montana
KMSP,Minneapolis,Minnesota
KMSY,New Orleans,Louisiana
KMTJ,Montrose,Colorado
KMVY,Vineyard Haven,Massachusetts
KMWA,Marion,Illinois
KMYR,Myrtle Beach,South Carolina
KNYL,Yuma,Arizona
KOAJ,Jacksonville,North Carolina
KOAK,Oakland,California
KOKC,Oklahoma City,Oklahoma
KOMA,Omaha,Nebraska
KONT,Ontario,California
KORD,Chicago,Illinois
KORF,Norfolk,Virginia
KORH,Worcester,Massachusetts
KOTH,North Bend,Oregon
KOWB,Owensboro,Kentucky
KPAH,Paducah,Kentucky
KPBG,Plattsburgh,New York
KPBI,West Palm Beach,Florida
KPDX,Portland,Oregon
KPGA,Page,Arizona
KPGD,Punta Gorda,Florida
KPGV,Greenville,North Carolina
KPHF,Newport News,Virginia
KPHL,Philadelphia,Pennsylvania
KPHX,Phoenix,Arizona
KPIA,Peoria,Illinois
KPIB,Hattiesburg/Laurel,Mississippi
KPIE,St. Petersburg/Clearwater,Florida
KPIH,Pocatello/Arbon Valley,Idaho
KPIR,Pierre,South Dakota
KPIT,Pittsburgh,Pennsylvania
KPLN,Pellston,Michigan
KPNS,Pensacola,Florida
KPQI,Presque Isle,Maine
KPSC,Pasco,Washington
KPSP,Palm Springs,California
KPUW,Pullman/Moscow, Idaho,Washington
KPVC,Provincetown,Massachusetts
KPVD,Providence/Warwick,Rhode Island
KPVU,Provo,Utah
KPWM,Portland,Maine
KRAP,Rapid City,South Dakota
KRDD,Redding,California
KRDM,Redmond,Oregon
KRDU,Raleigh,North Carolina
KRFD,Rockford,Illinois
KRHI,Rhinelander,Wisconsin
KRIC,Richmond,Virginia
KRIW,Riverton,Wyoming
KRKD,Rockland,Maine
KRKS,Rock Springs,Wyoming
KRNO,Reno,Nevada
KROA,Roanoke,Virginia
KROC,Rochester,New York
KROW,Roswell,New Mexico
KRST,Rochester,Minnesota
KRSW,Fort Myers,Florida
KSAF,Santa Fe,New Mexico
KSAN,San Diego,California
KSAT,San Antonio,Texas
KSAV,Savannah,Georgia
KSAW,Marquette/Gwinn,Michigan
KSBA,Santa Barbara,California
KSBN,South Bend,Indiana
KSBP,San Luis Obispo,California
KSBY,Salisbury,Maryland
KSCK,Stockton,California
KSDF,Louisville,Kentucky
KSEA,Seattle/Tacoma(SeaTac),Washington
KSFB,Orlando/Sanford,Florida
KSFO,San Francisco,California
KSGF,Springfield,Missouri
KSGJ,St. Augustine,Florida
KSGU,St. George/Beaver,Utah
KSHD,Staunton/Waynesboro/Harrisonburg,Virginia
KSHR,Sheridan,Wyoming
KSHV,Shreveport,Louisiana
KSJC,San Jose,California
KSJT,San Angelo,Texas
KSLC,Salt Lake City,Utah
KSMF,Sacramento,California
KSMX,Santa Maria,California
KSNA,Santa Ana,California
KSPI,Springfield,Illinois
KSPS,Wichita Falls,Texas
KSRQ,Sarasota/Bradenton,Florida
KSTC,St. Cloud,Minnesota
KSTL,St. Louis,Missouri
KSTS,Santa Rosa,California
KSUN,Hailey,Idaho
KSUX,Sioux City,Iowa
KSWF,Newburgh,New York
KSYR,Syracuse,New York
KTLH,Tallahassee,Florida
KTOL,Toledo,Ohio
KTPA,Tampa,Florida
KTRI,Bristol/Johnson City/Kingsport,Tennessee
KTTN,Trenton,New Jersey
KTUL,Tulsa,Oklahoma
KTUS,Tucson,Arizona
KTVC,Traverse City,Michigan
KTWF,Twin Falls,Idaho
KTXK,Texarkana,Arkansas
KTYR,Tyler,Texas
KTYS,Knoxville,Tennessee
KUIN,Quincy,Illinois
KUNV,State College,Pennsylvania
KVLD,Valdosta,Georgia
KVPS,Valparaiso,Florida
KWST,Westerly,Rhode Island
KXNA,Fayetteville,Arkansas
KYKM,Yakima,Washington
KYNG,Youngstown/Warren,Ohio
